Month,Region,District,Village,Latitude,Longitude,Temp,RH ,Insecticide,Class,Concentration (%),Species,Sex,Age,Replicate,N,10mins,15mins,20mins,30mins,40mins,50mins,60mins,Alive,Dead
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,27.5,57.1,DDT,Organochlorine,4,An. funestus,female,adult,1,20,0,0,1,6,10,11,16,1,19
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,27.5,57.1,DDT,Organochlorine,4,An. funestus,female,adult,2,20,0,0,0,4,11,12,12,4,16
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,27.5,57.1,DDT,Organochlorine,4,An. funestus,female,adult,3,20,0,1,1,2,6,8,10,4,16
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,27.5,57.1,DDT,Organochlorine,4,An. funestus,female,adult,4,20,0,0,4,5,8,9,12,1,19
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,27.5,57.1,control,,,An. funestus,female,adult,1,20,0,0,0,0,0,0,0,20,0
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,27.5,57.1,control,,,An. funestus,female,adult,2,20,0,0,0,0,0,0,0,19,1
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,27.2,58.8,Pirimiphos-methyl,Organophospahate,2.5,An. funestus,female,adult,1,20,1,6,11,15,18,20,20,1,19
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,27.2,58.8,Pirimiphos-methyl,Organophospahate,2.5,An. funestus,female,adult,2,20,0,4,10,11,18,20,20,0,20
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,27.2,58.8,Pirimiphos-methyl,Organophospahate,2.5,An. funestus,female,adult,3,20,0,2,9,13,16,20,20,0,20
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,27.2,58.8,Pirimiphos-methyl,Organophospahate,2.5,An. funestus,female,adult,4,20,0,6,16,19,19,20,20,0,20
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,27.2,58.8,control,,,An. funestus,female,adult,1,20,0,0,0,0,0,0,0,19,1
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,27.2,58.8,control,,,An. funestus,female,adult,2,20,0,0,0,0,0,0,0,18,2
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,28.1,54.4,Bendiocarb,Carbamate,0.1,An. funestus,female,adult,1,20,0,0,2,9,14,17,17,6,14
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,28.1,54.4,Bendiocarb,Carbamate,0.1,An. funestus,female,adult,2,20,0,0,4,11,19,20,20,1,19
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,28.1,54.4,Bendiocarb,Carbamate,0.1,An. funestus,female,adult,3,20,0,0,2,11,15,18,18,2,18
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,28.1,54.4,Bendiocarb,Carbamate,0.1,An. funestus,female,adult,4,20,0,0,1,7,15,18,19,2,18
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,28.1,54.4,control,,,An. funestus,female,adult,1,20,0,0,0,0,0,0,0,19,1
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,28.1,54.4,control,,,An. funestus,female,adult,2,20,0,0,0,0,0,0,0,20,0
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,28.1,55.5,Deltamethrin,Pyrethroid,0.05,An. funestus,female,adult,1,20,0,4,6,7,8,10,8,8,12
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,28.1,55.5,Deltamethrin,Pyrethroid,0.05,An. funestus,female,adult,2,20,0,1,3,6,9,10,10,8,12
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,28.1,55.5,Deltamethrin,Pyrethroid,0.05,An. funestus,female,adult,3,20,0,0,6,8,9,9,11,10,10
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,28.1,55.5,Deltamethrin,Pyrethroid,0.05,An. funestus,female,adult,4,20,0,2,6,8,8,7,9,10,10
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,28.1,55.5,control,,,An. funestus,female,adult,1,20,0,0,0,0,0,0,0,20,0
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,28.1,55.5,control,,,An. funestus,female,adult,2,20,0,0,0,0,0,0,0,19,1
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,25.8,67.2,Deltamethrin 5x,Pyrethroid,0.25,An. funestus,female,adult,1,20,3,4,5,5,8,8,8,4,16
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,25.8,67.2,Deltamethrin 5x,Pyrethroid,0.25,An. funestus,female,adult,2,20,0,3,4,7,12,12,11,4,16
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,25.8,67.2,Deltamethrin 5x,Pyrethroid,0.25,An. funestus,female,adult,3,20,1,2,3,5,5,6,5,7,13
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,25.8,67.2,Deltamethrin 5x,Pyrethroid,0.25,An. funestus,female,adult,4,20,2,4,4,4,6,7,7,4,16
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,25.8,67.2,control,,,An. funestus,female,adult,1,20,0,0,0,0,0,0,0,19,1
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,25.8,67.2,control,,,An. funestus,female,adult,2,20,0,0,0,0,0,0,0,19,1
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,25.4,57.4,Deltamethrin 10x,Pyrethroid,0.5,An. funestus,female,adult,1,20,3,6,7,9,11,14,16,1,19
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,25.4,57.4,Deltamethrin 10x,Pyrethroid,0.5,An. funestus,female,adult,2,20,1,5,5,11,15,18,17,1,19
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,25.4,57.4,Deltamethrin 10x,Pyrethroid,0.5,An. funestus,female,adult,3,20,1,4,4,4,6,8,17,1,19
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,25.4,57.4,Deltamethrin 10x,Pyrethroid,0.5,An. funestus,female,adult,4,20,2,6,10,11,13,17,17,2,18
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,25.4,57.4,control,Pyrethroid,,An. funestus,female,adult,1,20,0,0,0,0,0,0,0,20,0
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,25.4,57.4,control,Pyrethroid,,An. funestus,female,adult,2,20,0,0,0,0,0,0,0,19,1
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,25.8,67.2,Deltamethrin + PBO,Pyrethroid,,An. funestus,female,adult,1,20,,,,,,,,4,16
"Apr, 2022",Katavi,Tanganyika,Vikonge,-6.09069,30.93643,25.8,67.2,Deltamethrin + PBO,Pyrethroid,,An. funestus,female,adult,2,20,,,,,,,,4,16
